Designator,Mid X,Mid Y,Layer,Rotation
3V3_D1,31.12,183.52,Bottom,270.0
BCK_ADC1,100.84,59.69,Bottom,180.0
C68,102.11,74.30,Bottom,90.0
C69,103.38,74.30,Bottom,90.0
C70,97.03,74.30,Bottom,90.0
C71,98.30,74.30,Bottom,90.0
C72,95.76,74.30,Bottom,90.0
C73,99.57,74.30,Bottom,90.0
C74,100.84,74.30,Bottom,90.0
C75,105.41,62.23,Bottom,270.0
C76,106.68,62.23,Bottom,270.0
C77,90.17,73.28,Bottom,270.0
C78,92.46,78.61,Bottom,270.0
C79,91.44,53.34,Bottom,270.0
C80,97.28,52.58,Bottom,90.0
C81,90.17,77.60,Bottom,270.0
C82,91.44,57.15,Bottom,90.0
C83,93.98,52.58,Bottom,90.0
C84,90.04,69.09,Bottom,270.0
CE_EQ1,15.11,60.07,Bottom,0.0
CE_EQ2,76.07,61.34,Bottom,0.0
CLK_ADC1,102.87,70.61,Bottom,180.0
CS3,30.61,177.80,Bottom,0.0
CS4,48.39,178.69,Bottom,180.0
CS5,40.26,178.94,Bottom,180.0
CS6,55.88,179.07,Bottom,0.0
DOUT_ADC1,99.19,61.21,Bottom,180.0
GND6,55.88,184.15,Bottom,0.0
IC2,97.79,67.31,Bottom,0.0
LRCK_ADC1,102.49,61.21,Bottom,180.0
MUX2,33.40,187.20,Bottom,270.0
MUX3,35.56,172.47,Bottom,270.0
SCK1,12.70,157.99,Bottom,180.0
SCL1,69.09,111.00,Bottom,270.0
SCL2,99.06,55.88,Bottom,180.0
SDA1,68.58,118.11,Bottom,270.0
SDA2,101.60,55.88,Bottom,180.0
SDI/O1, 9.40,158.12,Bottom,180.0
U3,35.56,180.34,Bottom,270.0
U4,44.45,180.34,Bottom,270.0
U5,52.20,180.47,Bottom,270.0
U11,59.69,180.34,Bottom,270.0
Y2,106.68,68.58,Bottom,270.0
