Designator,Mid X,Mid Y,Layer,Rotation
9VDD1,106.43,77.09,Top,270.0
10KPOT1_PAN1,29.21,96.52,Top,0.0
10KPOT1_PAN2,52.07,95.25,Top,0.0
10KPOT1_PAN3,-7.62,93.98,Top,0.0
10KPOT1_PAN4,92.71,97.79,Top,0.0
10POT1_COMP1, 4.57,160.02,Top,270.0
10POT1_COMP2,55.37,161.29,Top,270.0
10POT1_COMP3,28.70,161.29,Top,270.0
10POT1_COMP5,83.31,163.83,Top,270.0
10POT2_COMP1,-1.27,160.02,Top,270.0
10POT2_COMP2,49.53,161.29,Top,270.0
10POT2_COMP3,22.86,161.29,Top,270.0
10POT2_COMP5,77.47,163.83,Top,270.0
200POT1_COMP1,10.41,113.16,Top,180.0
200POT1_COMP2,61.21,114.43,Top,180.0
200POT1_COMP3,34.54,114.43,Top,180.0
200POT1_COMP5,89.15,116.97,Top,180.0
200POT2_COMP1,10.41,108.46,Top,180.0
200POT2_COMP2,61.21,109.73,Top,180.0
200POT2_COMP3,34.54,109.73,Top,180.0
200POT2_COMP5,89.15,112.27,Top,180.0
C2,46.99,99.06,Top,0.0
C3,48.77,53.72,Top,270.0
C4,36.07,53.59,Top,270.0
C5,87.63,101.60,Top,0.0
C6,24.13,100.33,Top,0.0
C7, 1.02,84.45,Top,0.0
C8,-12.70,97.79,Top,0.0
C9,-0.51,80.26,Top,180.0
C10,-2.92,77.98,Top,0.0
C11,-2.79,75.95,Top,180.0
C12,-2.92,73.15,Top,0.0
C13,-3.05,71.12,Top,180.0
C14, 0.38,67.18,Top,180.0
C15, 3.18,63.25,Top,270.0
C16,17.65,64.01,Top,270.0
C17,19.94,66.67,Top,0.0
C18,24.64,69.47,Top,270.0
C19,24.26,72.01,Top,0.0
C20,25.15,76.71,Top,0.0
C21,23.11,78.36,Top,180.0
C22,22.48,82.55,Top,0.0
C23,19.43,83.82,Top,180.0
C24,-3.05,80.14,Top,90.0
C25,-5.46,75.69,Top,90.0
C26,-2.29,68.71,Top,180.0
C27, 5.71,63.25,Top,270.0
C28, 7.87,59.69,Top,180.0
C29,14.61,63.50,Top,270.0
C30,22.35,68.58,Top,0.0
C31,25.27,74.30,Top,0.0
C32,23.50,80.39,Top,90.0
C33,15.62,88.52,Top,90.0
C34,13.97,86.49,Top,90.0
C35,10.79,85.98,Top,90.0
C36, 8.76,87.00,Top,90.0
C37, 4.83,86.61,Top,90.0
C38, 3.56,86.61,Top,90.0
C39, 7.87,58.17,Top,180.0
C42, 2.67,131.06,Top,0.0
C43,-4.83,160.91,Top,90.0
C44, 5.84,109.73,Top,90.0
C45,53.47,132.33,Top,0.0
C46,45.97,162.18,Top,90.0
C47,56.64,111.00,Top,90.0
C48,26.80,132.33,Top,0.0
C49,19.30,162.18,Top,90.0
C50,29.97,111.00,Top,90.0
C54,81.41,134.87,Top,0.0
C55,73.91,164.72,Top,90.0
C56,84.58,113.54,Top,90.0
C103,61.98,85.73,Top,0.0
C104,60.45,81.53,Top,180.0
C105,58.04,79.25,Top,0.0
C106,58.17,77.22,Top,180.0
C107,58.04,74.42,Top,0.0
C108,57.91,72.39,Top,180.0
C109,61.34,68.45,Top,180.0
C110,64.14,64.52,Top,270.0
C111,78.61,65.28,Top,270.0
C112,80.90,67.95,Top,0.0
C113,85.60,70.74,Top,270.0
C114,85.22,73.28,Top,0.0
C115,86.11,77.98,Top,0.0
C116,84.07,79.63,Top,180.0
C117,83.44,83.82,Top,0.0
C118,80.39,85.09,Top,180.0
C119,57.91,81.41,Top,90.0
C120,55.50,76.96,Top,90.0
C121,58.67,69.98,Top,180.0
C122,66.67,64.52,Top,270.0
C123,68.83,60.96,Top,180.0
C124,75.56,64.77,Top,270.0
C125,83.31,69.85,Top,0.0
C126,86.23,75.56,Top,0.0
C127,84.45,81.66,Top,90.0
C128,76.58,89.79,Top,90.0
C129,74.93,87.76,Top,90.0
C130,71.76,87.25,Top,90.0
C131,69.72,88.27,Top,90.0
C132,65.79,87.88,Top,90.0
C133,64.52,87.88,Top,90.0
C134,68.83,59.44,Top,180.0
D2,34.54,94.74,Top,270.0
D3,57.40,93.47,Top,270.0
D4,-2.29,92.20,Top,270.0
D5,98.04,96.01,Top,270.0
D16, 6.86,121.16,Top,270.0
D17, 5.59,117.35,Top,180.0
D18, 4.32,121.16,Top,90.0
D19, 9.91,118.75,Top,90.0
D20,-1.91,150.50,Top,180.0
D21,-2.29,147.57,Top,0.0
D22,-1.91,144.91,Top,180.0
D23,-2.79,141.99,Top,0.0
D24,-2.79,139.70,Top,180.0
D25,-3.18,137.41,Top,0.0
D26, 5.59,133.73,Top,180.0
D27,57.66,122.43,Top,270.0
D28,56.39,118.62,Top,180.0
D29,55.12,122.43,Top,90.0
D30,60.71,120.02,Top,90.0
D31,48.90,151.77,Top,180.0
D32,48.51,148.84,Top,0.0
D33,48.90,146.18,Top,180.0
D34,48.01,143.26,Top,0.0
D35,48.01,140.97,Top,180.0
D36,47.63,138.68,Top,0.0
D37,56.39,135.00,Top,180.0
D38,30.99,122.43,Top,270.0
D39,29.72,118.62,Top,180.0
D40,28.45,122.43,Top,90.0
D41,34.04,120.02,Top,90.0
D42,22.23,151.77,Top,180.0
D43,21.84,148.84,Top,0.0
D44,22.23,146.18,Top,180.0
D45,21.34,143.26,Top,0.0
D46,21.34,140.97,Top,180.0
D47,20.96,138.68,Top,0.0
D48,29.72,135.00,Top,180.0
D60,85.60,124.97,Top,270.0
D61,84.33,121.16,Top,180.0
D62,83.06,124.97,Top,90.0
D63,88.65,122.56,Top,90.0
D64,76.84,154.31,Top,180.0
D65,76.45,151.38,Top,0.0
D66,76.84,148.72,Top,180.0
D67,75.95,145.80,Top,0.0
D68,75.95,143.51,Top,180.0
D69,75.56,141.22,Top,0.0
D70,84.33,137.54,Top,180.0
GND1, 4.45,166.62,Top,90.0
GND2,55.25,167.89,Top,90.0
GND3,24.77,170.43,Top,90.0
GND4,104.90,82.42,Top,180.0
GND5,83.19,170.43,Top,90.0
GNDL1,40.39,61.21,Top,0.0
GNDR1,43.69,61.21,Top,0.0
IN_COMP1,-1.02,166.62,Top,90.0
IN_COMP2,49.78,167.89,Top,90.0
IN_COMP3,19.30,170.43,Top,90.0
IN_COMP5,77.72,170.43,Top,90.0
OPAMP1_COMP1, 7.37,127.76,Top,90.0
OPAMP1_COMP2,58.17,129.03,Top,90.0
OPAMP1_COMP3,31.50,129.03,Top,90.0
OPAMP1_COMP5,86.11,131.57,Top,90.0
OPAMP1_MIX1,41.78,55.37,Top,180.0
OPAMP1_PAN1,29.21,88.27,Top,180.0
OPAMP1_PAN2,52.07,87.00,Top,180.0
OPAMP1_PAN3,-7.62,85.73,Top,180.0
OPAMP1_PAN4,92.71,89.54,Top,180.0
OPAMP2_COMP1, 4.57,148.84,Top,270.0
OPAMP2_COMP2,55.37,150.11,Top,270.0
OPAMP2_COMP3,28.70,150.11,Top,270.0
OPAMP2_COMP5,83.31,152.65,Top,270.0
OPAMP3_COMP1, 4.45,139.45,Top,90.0
OPAMP3_COMP2,55.25,140.72,Top,90.0
OPAMP3_COMP3,28.58,140.72,Top,90.0
OPAMP3_COMP5,83.19,143.26,Top,90.0
OPAMP4_COMP1,-3.18,130.94,Top,270.0
OPAMP4_COMP2,47.63,132.21,Top,270.0
OPAMP4_COMP3,20.96,132.21,Top,270.0
OPAMP4_COMP5,75.56,134.75,Top,270.0
OUTL_MIX1,45.47,51.05,Top,270.0
OUTR_MIX1,39.37,51.05,Top,270.0
PAD1,33.02,68.58,Top,0.0
PAD2,29.21,78.74,Top,0.0
PAD3,25.40,57.15,Top,0.0
PAD4,-12.70,80.01,Top,0.0
PAD5,-15.24,91.44,Top,0.0
PAD6,31.75,81.28,Top,0.0
PAD7,62.23,59.69,Top,0.0
PAD8,53.34,67.31,Top,0.0
PAD9,12.70,92.71,Top,0.0
PAD10,-7.62,104.14,Top,0.0
PAD11,74.93,99.06,Top,0.0
PAD12,43.18,105.41,Top,0.0
PAD13,44.45,96.52,Top,0.0
PAD14,80.01,90.17,Top,0.0
PAD15,-15.24,95.25,Top,0.0
PAD16,17.78,90.17,Top,0.0
R5,102.74,84.58,Top,180.0
R6,49.91,101.85,Top,180.0
R7,49.66,100.33,Top,180.0
R8,107.19,81.53,Top,90.0
R9,105.28,84.58,Top,0.0
R10,49.66,98.93,Top,180.0
R11,55.75,91.06,Top,90.0
R12,47.24,86.36,Top,180.0
R13,57.15,88.65,Top,270.0
R14,57.53,85.09,Top,180.0
R15,90.55,104.39,Top,180.0
R16,90.30,102.87,Top,180.0
R17,90.30,101.47,Top,180.0
R18,96.39,93.60,Top,90.0
R19,87.88,88.90,Top,180.0
R20,97.79,91.19,Top,270.0
R21,98.17,87.63,Top,180.0
R22,106.05,79.88,Top,90.0
R31,50.55,54.61,Top,180.0
R32,47.75,62.36,Top,180.0
R33,50.04,58.29,Top,180.0
R34,47.75,61.09,Top,180.0
R35,50.16,62.36,Top,180.0
R36,50.04,61.09,Top,0.0
R37,50.04,57.15,Top,0.0
R38,50.04,55.88,Top,0.0
R39,50.16,63.63,Top,180.0
R40,50.04,59.82,Top,180.0
R41,47.63,57.28,Top,180.0
R42,47.50,55.88,Top,180.0
R43,46.74,59.18,Top,180.0
R44,46.10,54.23,Top,270.0
R45,47.37,54.10,Top,90.0
R46,33.02,63.50,Top,0.0
R47,35.56,55.88,Top,0.0
R48,33.02,59.69,Top,0.0
R49,35.56,57.15,Top,0.0
R50,33.02,55.88,Top,0.0
R51,33.02,57.15,Top,180.0
R52,33.02,60.96,Top,180.0
R53,33.02,62.23,Top,180.0
R54,33.02,54.61,Top,0.0
R55,33.02,58.42,Top,0.0
R56,35.56,60.96,Top,0.0
R57,35.56,62.23,Top,0.0
R58,36.58,59.05,Top,0.0
R59,37.34,56.64,Top,270.0
R60,37.34,54.36,Top,270.0
R63, 2.92,129.41,Top,0.0
R64, 2.03,153.16,Top,0.0
R65, 4.06,125.98,Top,270.0
R66, 1.02,137.03,Top,90.0
R67, 3.81,154.56,Top,270.0
R68,27.05,103.12,Top,180.0
R69,26.80,101.60,Top,180.0
R70,26.80,100.20,Top,180.0
R71,32.89,92.33,Top,90.0
R72,24.38,87.63,Top,180.0
R73,34.29,89.92,Top,270.0
R74,34.67,86.36,Top,180.0
R75, 5.08,154.56,Top,90.0
R76, 2.67,154.94,Top,90.0
R77, 8.51,135.25,Top,270.0
R78,-1.40,135.51,Top,0.0
R79,-6.73,129.29,Top,90.0
R80,-7.87,127.00,Top,90.0
R81,-5.71,126.24,Top,0.0
R82,-9.78,100.58,Top,180.0
R83,-10.03,99.06,Top,180.0
R84,-10.03,97.66,Top,180.0
R85,-3.94,89.79,Top,90.0
R86,-12.45,85.09,Top,180.0
R87,-2.54,87.38,Top,270.0
R88,-2.16,83.82,Top,180.0
R89,-0.13,137.80,Top,270.0
R90, 0.51,140.21,Top,270.0
R91,-4.70,154.94,Top,90.0
R92,-3.30,154.94,Top,270.0
R93,-5.08,144.15,Top,90.0
R94, 6.99,109.47,Top,270.0
R95,53.72,130.68,Top,0.0
R96,52.83,154.43,Top,0.0
R97,54.86,127.25,Top,270.0
R98,51.82,138.30,Top,90.0
R99,54.61,155.83,Top,270.0
R100,55.88,155.83,Top,90.0
R101,53.47,156.21,Top,90.0
R102,59.31,136.53,Top,270.0
R103,49.40,136.78,Top,0.0
R104,44.07,130.56,Top,90.0
R105,42.93,128.27,Top,90.0
R106,45.09,127.51,Top,0.0
R107,50.67,139.06,Top,270.0
R108,51.31,141.48,Top,270.0
R109,46.10,156.21,Top,90.0
R110,47.50,156.21,Top,270.0
R111,45.72,145.42,Top,90.0
R112,57.79,110.74,Top,270.0
R113,27.05,130.68,Top,0.0
R114,26.16,154.43,Top,0.0
R115,28.19,127.25,Top,270.0
R116,25.15,138.30,Top,90.0
R117,27.94,155.83,Top,270.0
R118,29.21,155.83,Top,90.0
R119,26.80,156.21,Top,90.0
R120,32.64,136.53,Top,270.0
R121,22.73,136.78,Top,0.0
R122,17.40,130.56,Top,90.0
R123,16.26,128.27,Top,90.0
R124,18.41,127.51,Top,0.0
R125,24.00,139.06,Top,270.0
R126,24.64,141.48,Top,270.0
R127,19.43,156.21,Top,90.0
R128,20.83,156.21,Top,270.0
R129,19.05,145.42,Top,90.0
R130,31.12,110.74,Top,270.0
R149,81.66,133.22,Top,0.0
R150,80.77,156.97,Top,0.0
R151,82.80,129.79,Top,270.0
R152,79.76,140.84,Top,90.0
R153,82.55,158.37,Top,270.0
R154,83.82,158.37,Top,90.0
R155,81.41,158.75,Top,90.0
R156,87.25,139.06,Top,270.0
R157,77.34,139.32,Top,0.0
R158,72.01,133.10,Top,90.0
R159,70.87,130.81,Top,90.0
R160,73.03,130.05,Top,0.0
R161,78.61,141.61,Top,270.0
R162,79.25,144.02,Top,270.0
R163,74.04,158.75,Top,90.0
R164,75.44,158.75,Top,270.0
R165,73.66,147.96,Top,90.0
R166,85.73,113.28,Top,270.0
U$1,10.16,74.93,Top,0.0
U$3,71.12,76.20,Top,0.0
U2,100.33,80.01,Top,180.0
